weight_decay,batch_size,model_seed,split_seed,shuffle_seed,sft_best_test_loss,hybrid_test_loss,hybrid_acc,hybrid_acc_even,hybrid_acc_odd
0.5,1024,1236,42,44,0.00028433813713490963,2.7254247665405273,0.45955926179885864,0.4583240747451782,0.4608108103275299
0.15,1024,1234,42,43,0.00029253039974719286,13.568432807922363,0.05839579552412033,0.06823738664388657,0.04842342436313629
0.15,-1,1234,41,43,0.00030140395392663777,0.06573871523141861,0.9852332472801208,0.9853137135505676,0.9851518869400024
0.15,1024,1236,42,43,0.00030460802372545004,63.105220794677734,0.031659021973609924,0.03356301411986351,0.029729731380939484
0.3,256,1234,42,44,0.00035979828680865467,1.1270469427108765,0.9087146520614624,0.9339852929115295,0.8831081390380859
0.15,1024,1235,42,43,0.0003773698699660599,2.793478488922119,0.7595928311347961,0.7528339624404907,0.7664414644241333
0.3,1024,1234,41,43,0.00039169081719592214,1.1338306665420532,0.9253831505775452,0.9076546430587769,0.943307101726532
0.15,512,1235,41,43,0.0005346235702745616,0.11510232090950012,0.9351158142089844,1.0,0.8695163130760193
0.15,256,1235,42,44,0.000603536085691303,0.009610110893845558,0.9998881816864014,1.0,0.9997748136520386
0.15,256,1236,42,43,0.0006276945350691676,0.558223307132721,0.6684193015098572,0.6819292902946472,0.6547297239303589
0.3,1024,1234,41,44,0.0006414270610548556,6.7186713218688965,0.32911959290504456,0.3348909616470337,0.3232845962047577
0.3,256,1234,42,43,0.0007263354491442442,0.07918692380189896,0.9682291150093079,0.9719937443733215,0.9644144177436829
0.15,-1,1235,42,43,0.0007965615950524807,0.30634236335754395,0.7866652011871338,0.7792842984199524,0.7941441535949707
0.15,256,1235,42,43,0.0008139807032421231,0.495347797870636,1.0,1.0,1.0
0.3,1024,1235,42,43,0.0008478922536596656,0.7089461088180542,0.7781631350517273,0.8010668754577637,0.754954993724823
0.3,-1,1234,42,43,0.0008895110222510993,9.489627838134766,0.36525338888168335,0.3683040738105774,0.36216217279434204
0.5,512,1236,41,44,0.0008898506057448685,2.5537214279174805,0.8005369901657104,0.7903871536254883,0.8107986450195312
0.3,1024,1236,42,44,0.000942255137488246,5.052770137786865,0.5498378276824951,0.5487886071205139,0.550900936126709
0.15,512,1234,42,43,0.000987954088486731,12.041065216064453,0.13502629101276398,0.13869749009609222,0.13130630552768707
0.3,1024,1235,42,44,0.001109487609937787,2.6324191093444824,0.6027520298957825,0.6032451391220093,0.6022522449493408
0.15,1024,1234,41,44,0.0012275323970243335,0.8226909637451172,0.9972032904624939,0.9991099238395691,0.995275616645813
0.3,512,1235,42,44,0.0014353528385981917,2.7909812927246094,0.5819442868232727,0.5905756950378418,0.5731981992721558
0.15,512,1236,42,44,0.0017055862117558718,0.798342764377594,0.4504978358745575,0.4147588312625885,0.486711710691452
0.5,1024,1235,42,43,0.0017141789430752397,0.5578380823135376,0.794048547744751,0.8112913966178894,0.776576578617096
0.15,1024,1234,41,43,0.002053177449852228,0.12418389320373535,0.9356751441955566,0.9528259634971619,0.9183351993560791
0.3,-1,1235,42,43,0.0023045495618134737,0.0022938463371247053,1.0,1.0,1.0
0.5,-1,1235,42,43,0.002636772347614169,0.9747384786605835,0.9138606190681458,0.8937541842460632,0.9342342615127563
0.3,1024,1236,42,43,0.003176936646923423,37.55507278442383,0.058060187846422195,0.0684596598148346,0.04752252250909805
0.5,-1,1236,42,43,0.00379770970903337,16.131935119628906,0.24029533565044403,0.26761502027511597,0.21261261403560638
0.3,-1,1234,41,43,0.0045056394301354885,0.009490584023296833,0.9994406700134277,1.0,0.9988751411437988
0.3,-1,1235,41,43,0.0048337965272367,2.4398348331451416,0.8786218166351318,0.8664886355400085,0.8908886313438416
0.5,-1,1235,41,43,0.005241126753389835,1.308027982711792,0.9370176196098328,0.960391640663147,0.9133858680725098
0.15,-1,1234,42,43,0.007187917362898588,0.9834079146385193,0.8659805655479431,0.8708601593971252,0.8610360622406006
0.3,-1,1236,42,43,0.007642016280442476,0.003277170704677701,0.9993287920951843,0.9995554685592651,0.9990991353988647
0.5,-1,1236,41,43,0.009616727009415627,15.94088077545166,0.1323414295911789,0.11593235284090042,0.1489313840866089
0.3,-1,1236,41,43,0.026413938030600548,0.0027198288589715958,0.9994406700134277,0.9993324279785156,0.9995500445365906
0.5,-1,1234,42,43,0.03248609974980354,0.3281523883342743,0.799642026424408,0.8217381834983826,0.7772522568702698
0.15,-1,1235,41,43,0.1984781175851822,0.8108110427856445,0.611254096031189,0.698931872844696,0.5226097106933594
