variant,weight_decay,batch_size,model_seed,split_seed,shuffle_seed,original_loss,original_acc,zero_ablated_loss,zero_ablated_acc,mean_ablated_loss,mean_ablated_acc,loss_ratio_zero,loss_ratio_mean
PT,0.3,512,1235,42,43,2.8105512228648877e-07,1.0,3.680276563500229e-07,1.0,3.451549446253921e-07,1.0,1.3094500941878588,1.22806850776256
PT,0.3,512,1235,42,44,3.7884797166043427e-07,1.0,4.365525398952741e-07,1.0,4.3136182625858055e-07,1.0,1.1523158959567061,1.138614585602731
PT,0.3,512,1236,41,43,1.8815433122654213e-07,1.0,5.296299718793307e-07,1.0,4.457102420474257e-07,1.0,2.8148699444056065,2.3688545415985156
PT,0.3,512,1236,41,44,2.7548077241590363e-07,1.0,1.1518558267198387e-06,1.0,8.334859558090102e-07,1.0,4.181256704844863,3.02556853060752
PT,0.3,512,1236,42,43,4.025047246614122e-07,1.0,1.0091081321661477e-06,1.0,9.134939205068804e-07,1.0,2.5070715207504994,2.269523472737651
PT,0.3,512,1236,42,44,5.121257231621712e-07,1.0,5.574420356424525e-07,1.0,5.382566996559035e-07,1.0,1.0884866946351988,1.051024534234258
PT,0.5,-1,1234,41,43,4.1986879750766093e-07,1.0,1.245352564183122e-06,1.0,1.0219439445791068e-06,1.0,2.96605170847543,2.433960205295942
PT,0.5,-1,1234,42,43,3.618566779550747e-07,1.0,8.672295166434196e-07,1.0,8.383075282836217e-07,1.0,2.39661050763056,2.3166838678259776
PT,0.5,-1,1235,41,43,5.009471351513639e-05,1.0,6.242631206987426e-05,1.0,5.727127427235246e-05,1.0,1.2461656667826198,1.1432598422795177
PT,0.5,-1,1235,42,43,5.353379947337089e-06,1.0,5.7496527006151155e-06,1.0,5.7969832596427295e-06,1.0,1.0740229083637418,1.0828641562283097
PT,0.5,-1,1236,41,43,7.177816883086052e-07,1.0,8.932199193623092e-07,1.0,8.219299729717022e-07,1.0,1.2444172565437133,1.145097438900279
PT,0.5,-1,1236,42,43,4.500136867591209e-07,1.0,1.4180124026097474e-06,1.0,5.63171852263622e-07,1.0,3.151042833434459,1.2514549420028447
PT,0.5,1024,1234,41,43,3.4613540833561274e-07,1.0,8.631999435237958e-07,1.0,7.725214459242125e-07,1.0,2.493821558662492,2.2318475004879477
PT,0.5,1024,1234,41,44,6.091783575357113e-07,1.0,7.953977387842315e-07,1.0,7.670349191357673e-07,1.0,1.305689424033098,1.259130285321737
PT,0.5,1024,1234,42,43,2.5141395099126385e-07,1.0,7.905762231530389e-07,1.0,6.282734830165282e-07,1.0,3.1445201033434693,2.498960302478837
